Id,SalePrice
1461,110242.32532480011
1462,163893.9736343723
1463,191233.47909899318
1464,211596.92054893944
1465,214268.89585291708
1466,190414.2509729594
1467,182355.24897028337
1468,173716.23725333923
1469,191194.71590683112
1470,105556.2198236383
1471,208382.5175318648
1472,99582.89302125313
1473,101821.6305541649
1474,149631.91463085724
1475,104663.54134786528
1476,307849.9080180952
1477,262908.8036489429
1478,287365.3468297068
1479,289436.7536832873
1480,246282.02672041365
1481,305724.11045549053
1482,234652.50978324967
1483,197347.1447957828
1484,194363.67679472684
1485,193326.34068373506
1486,212719.13805208367
1487,272986.5682185741
1488,249976.93487259615
1489,200658.24577184088
1490,248958.28909893427
1491,226680.6300330984
1492,81519.14801277668
1493,177894.26044963376
1494,245370.70640103114
1495,298085.40861668444
1496,237314.09753742995
1497,185131.63575649308
1498,181717.0634496609
1499,175010.39774017344
1500,184396.61945721923
1501,211898.46894828504
1502,167479.36623916402
1503,208111.5555018438
1504,255346.2780135001
1505,243834.4378938747
1506,220311.4869820525
1507,259473.49297000148
1508,212125.34577032033
1509,158827.64594145824
1510,168332.6037153624
1511,152521.65391421464
1512,217879.38824617272
1513,170128.96398378094
1514,157479.9958943763
1515,215437.30017711988
1516,176195.73199953302
1517,168678.8507720969
1518,138337.53986743605
1519,261914.41762461694
1520,126646.27854308943
1521,129387.27678254174
1522,204860.0178516228
1523,90398.17575355739
1524,96297.1138543751
1525,114165.30979674609
1526,98059.30173235433
1527,99700.16199096951
1528,123246.68172603998
1529,139870.36032483226
1530,179420.03079532142
1531,149753.90422571672
1532,86036.49638483328
1533,144757.47569283863
1534,103432.71492117844
1535,165410.31101800659
1536,116214.11485889857
1537,79328.5729483551
1538,175226.86509502458
1539,190000.2843394248
1540,126607.6313795347
1541,137997.34950789768
1542,140928.8675379128
1543,176820.1825585315
1544,61345.521599169646
1545,98884.01112127819
1546,128104.81018782
1547,150617.46494489867
1548,109534.96386392195
1549,103401.50066666068
1550,137686.45480746348
1551,107436.04522317412
1552,164677.0937352552
1553,136288.14951891557
1554,121949.89806776488
1555,203148.05181875307
1556,112909.13955161719
1557,95235.0711131587
1558,78965.52568270103
1559,112490.9600330911
1560,140886.9392818348
1561,136724.10893789018
1562,129211.85157896817
1563,102291.2579321346
1564,172118.53269813216
1565,145482.4931974297
1566,190986.84382648862
1567,61785.934657011996
1568,237882.3115796073
1569,149371.44804035602
1570,135334.07977868858
1571,122706.7559184028
1572,132218.05321819652
1573,234749.24350134286
1574,144507.92785013648
1575,213768.09718134176
1576,242621.31488954878
1577,209863.77479534518
1578,140698.85559201427
1579,143178.75458334613
1580,211187.69149556747
1581,147513.5720328968
1582,109213.64791167082
1583,300445.9245622307
1584,241560.5792707853
1585,164708.40741629992
1586,90120.33394877503
1587,89348.8053067908
1588,141134.32357901413
1589,95150.6746510935
1590,117368.343772883
1591,89104.24148707445
1592,113618.78492218058
1593,115813.13423854407
1594,137603.01903643442
1595,118685.78105166215
1596,220232.24500097643
1597,187432.29632448242
1598,210611.2707277663
1599,165347.35791271302
1600,173625.57425665023
1601,50460.360546907614
1602,111084.9950017795
1603,148505.17300612546
1604,234904.88337403518
1605,269495.37659403414
1606,169099.3208175683
1607,180335.46348684144
1608,246305.88650384799
1609,191660.34873402043
1610,151672.24608537494
1611,138683.39004686516
1612,200111.37010642074
1613,178848.8549288444
1614,121090.22048942358
1615,90792.58080870469
1616,85739.87441312222
1617,78891.06832976331
1618,105378.23499371849
1619,134380.29766253626
1620,180615.0792998517
1621,133687.7677161629
1622,143581.59277455922
1623,213424.97994474572
1624,245306.70854370928
1625,100050.84269455829
1626,202530.37352568546
1627,205184.06033780723
1628,280502.7507899517
1629,187840.96130031228
1630,277487.43035429425
1631,213612.33184690506
1632,252314.36616860254
1633,171718.69081765483
1634,208800.7128951805
1635,197006.55886644966
1636,172570.29415372826
1637,226357.06561994983
1638,242968.60174685964
1639,200941.45642789121
1640,269775.58768499095
1641,203462.55778512388
1642,242975.0482763279
1643,240526.7625791849
1644,220527.50941529215
1645,205865.0336946929
1646,180212.73198422944
1647,155661.71436441297
1648,131264.37426529737
1649,148183.91540286804
1650,107181.42538777679
1651,110213.04684772219
1652,102924.19254652367
1653,101041.85893823454
1654,151196.89018212145
1655,136865.50928712368
1656,146961.90095812184
1657,151988.4174520903
1658,154289.13298592376
1659,105152.36230347923
1660,168769.81197106902
